进程数 总执行时间/ms 计算比例 通信比例
1 0.282258 99.915572% 0.009236%
2 0.155062 95.673016% 4.202771%
3 0.120414 87.475580% 12.337746%
4 0.105835 83.139572% 16.708628%
5 0.120843 76.745303% 23.045688%
6 0.114890 75.012231% 24.769770%
7 0.137988 62.006295% 37.721707%
8 0.134225 57.197081% 42.526708%
9 0.223878 62.964751% 36.828092%
10 0.205025 60.414613% 39.373699%
11 0.186313 55.601395% 44.101409%
12 0.233077 52.217971% 47.538490%
